lap_index,sector_time,avg_line_distance,dist_to_apex1,dist_to_apex2,avg_brake_pressure,avg_throttle_pressure,peak_brake_pressure,peak_throttle_pressure,brake_x,brake_y,brake_pressure,turn_x,turn_y,steering_angle
752,10.794,1.5581709676565187,1.9297901942525308,1.5265762477199563,0.10653464782856073,0.818115102601062,0.99030984703013,1.0,333.39690036065934,255.44997455797423,0.891106367111206,373.00501988454056,195.02446872122013,0.3119915958635872
1038,10.709999999999999,1.4353335166911676,1.621215194360291,0.3714227169736561,0.12332273587706076,0.8458732065446845,1.0,1.0,328.64945399250706,260.6141497228637,1.0,364.74302787804805,217.3676641936762,0.2276453186600717
698,11.044,1.029755405655844,4.130473829316137,0.7626509252449024,0.14743784913045782,0.8522026611210124,1.0,1.0,335.7080996377328,253.5230605865532,1.0,379.8964726966535,190.72221145305156,0.4650381781948575
623,10.561,2.095173008021564,2.066983645197006,1.3901762797227442,0.1024154849462755,0.8701258495300017,1.0,1.0,359.5465549540572,229.24060650570044,0.8541824262662028,360.18771464447303,228.46355482878627,0.2007000605660004
93,10.860000000000001,1.7106833059708897,0.6985249339932372,0.7803781158000724,0.11451340316694229,0.8993493248512882,1.0,1.0,344.89022142278765,242.87254234317317,0.7045970777260439,375.51626123309205,186.8833746772392,0.4440684914348748
644,11.149999999999999,2.309500492586462,6.6064602226946825,14.711529599721462,0.08900083908420245,0.808180254268824,1.0,1.0,347.1397198284917,242.3200900699468,1.0,365.71593672500694,221.22555120290164,0.2823553821155046
655,12.094999999999999,0.9661271665163846,0.7451129793914395,1.408877481090454,0.06625076780231935,0.8116163800272868,1.0,1.0,352.81264045475615,235.23672017236817,1.0,355.38799220970753,232.1437058227308,0.2123375441887905
139,20.237000000000002,4.389129476336046,3.7993714890798227,2.50508437763411,0.16163629866671894,0.8304727835827483,1.0,1.0,305.19695706156665,272.3100674073873,0.8999999761581421,399.1965691460503,21.662119717068144,-0.5135216063923305
344,18.936,4.2650626494562385,15.741132126087939,2.6724615620019363,0.12040840495628827,0.6493554122442916,1.0,1.0,286.7451375012761,302.1614138612473,0.3795816747493722,337.38086427313254,249.49612693089824,-0.2166137435790398
374,10.994,2.49470279563219,0.16390650261905101,0.9760899358418104,0.10448660948712298,0.764706068526874,0.9615661884416544,1.0,346.47758583250294,243.07455159421684,0.738707043424603,377.0578418483504,176.56823431911238,0.2124173277365155
130,10.511,1.0884354749163108,1.2009134371323877,0.3021363516077736,0.09505414529967471,0.8598460945848345,1.0,1.0,307.38400718374294,278.91135937301914,1.0,360.87011155703567,226.29347602252923,0.2117761905849092
1054,10.511,0.7332798335605076,1.1091496547388309,0.5686015535790954,0.09954989521025832,0.8734051690142315,1.0,1.0,362.30478570678395,224.89664001729523,0.7590051439980889,362.30478570678395,224.89664001729523,0.4486668230136993
286,10.994,1.7686985964791373,0.49926788070863815,1.2404769280246097,0.13886317884445834,0.8249442365633605,1.0,1.0,332.1529236728103,254.16197461766092,1.0,375.8420239511302,192.31122188183235,0.2629708017363632
789,15.349000000000002,4.301898123766492,1.415830978075362,2.0385452783137006,0.09429507818758717,0.4263074477906009,0.6829297159712044,0.6062867045402527,309.05039744925926,270.54549316739445,0.2459914733373499,358.82199409906406,219.8909622836804,0.2041862681329973
50,10.493,0.9780643987679325,2.0343546436448583,3.3243317822957863,0.10886421416476207,0.8236998101623471,1.0,1.0,348.5201697902952,240.8695635794904,1.0,378.45461436409266,181.58796500590307,0.326924759763883
620,38.940000000000005,5.028189743031938,18.702978598474488,118.06531096253094,0.09831099455840435,0.8829151642835301,1.0,1.0,352.99777733521034,233.99041806955776,1.0,352.99777733521034,233.99041806955776,0.2179019650227736
285,13.897,3.233488083415429,3.331741252616271,77.4440652420988,0.07979623841748114,0.7430221469442835,0.7076605795218833,1.0,337.2769969160312,249.38865262148175,0.5590011847049658,379.97855292079026,187.48188578959304,0.6409156051836561
1013,12.546000000000001,0.9018089567391373,3.2576510821776656,0.3264586207209544,0.07819177355094535,0.5721354039595843,0.8515566050220129,1.0,296.65733702914355,290.8470764160156,0.741261949367015,379.1511974437013,167.67404012619605,0.4295614120699846
485,17.201,2.2272654532044607,5.996820664933851,72.33588533392206,0.09790039938507815,0.5349597244311035,1.0,1.0,378.34280990928954,161.72084297227622,0.7397661805152893,382.24022989133834,180.4807686735076,0.5656409132216006
136,11.995,3.8599859299279977,6.430753932925345,0.22385402898787826,0.18029935255830187,0.8189673804257946,1.0,1.0,333.9230815860268,248.79697272330168,1.0,334.62504677308146,248.08404498428743,0.2026024446280721
996,10.461,1.047167206618141,0.46277839991862124,0.7049458460630372,0.1053203448770417,0.8463730356077264,1.0,1.0,306.9689956394972,279.9220691107016,1.0,372.08731824431055,78.86888323169312,-0.2074748888537427
757,11.745,1.2375144929114665,3.507718386312654,2.088552747912905,0.11232687338728593,0.8202453453153818,0.9777142712805006,1.0,344.4993561535347,245.34618210211033,0.7476694373095908,379.941630362661,186.64798095754543,1.0
716,10.811,1.036158003001837,3.1267580000554913,0.7275007433385033,0.12944475476232642,0.8897966921582053,1.0,1.0,320.1076902912003,267.60855156663007,1.0,373.2456449639629,207.46783164878127,0.3376753577293537
402,11.145,1.426601774217161,3.015285913033633,1.3325113466361214,0.1324065718310589,0.8426779905990027,1.0,1.0,336.70227079532594,250.233435906341,1.0,379.11079939737766,188.4951599200893,0.4224797568366322
899,11.044,2.100742991281172,0.9224529894175093,8.829011906673411,0.1117711713648288,0.7595502957052283,1.0,1.0,327.9953689373174,258.4959105970532,1.0,375.1364595629488,195.1996584201876,0.2260299614068998
767,10.594,1.140269772878771,1.2608118054702873,0.8181667638189664,0.09988886983030736,0.8373415408884712,0.9544095687937028,1.0,332.90537633122625,256.38357436086926,0.9110366470352776,375.40506236378735,197.66677020933568,0.3037914870352279
412,22.150000000000002,3.844478321223227,0.26326284677193795,3.486022286869881,0.1016631748385771,0.7355386993643694,0.9517870132259264,1.0,396.4242388471936,34.59964443019602,0.3776883159496987,396.4242388471936,34.59964443019602,-0.8799059116474777
765,10.994,2.7598394995523194,7.365037773484199,2.892369627691005,0.11594415854610358,0.8204169627234146,0.981822327759168,1.0,314.007805608934,269.92848980087484,0.8999999761581421,363.38927385883943,205.11411531509887,0.2027784236256153
505,10.41,0.9239579474734237,1.9214249539126442,1.4048717602754162,0.0966617844616374,0.8212442405208139,0.94839985774614,1.0,313.6826051623143,275.35774043695216,0.4488137711864193,368.32298287412647,216.73449006305745,0.3606492330017165
774,12.246,1.2719228380372842,15.02046422407276,1.2684017614273309,0.10066796641368972,0.7966837312761043,1.0,1.0,318.05006893777977,269.79796828593106,0.9016643209229366,369.8307197372533,205.39974232785465,0.2243577826389654
831,10.761000000000001,1.943378579759692,0.789085421501919,0.9305705205173558,0.11215312748140875,0.7676191689959094,1.0,1.0,296.8545676899928,288.1637504050577,0.3813312812131993,374.3356749128166,193.6367642133862,0.2030188846879441
616,12.901,2.4695540146407153,2.0733410987546113,6.058781834596505,0.12331287022051463,0.5863379353643168,0.9737727642059326,0.8942549824714661,348.3183775555776,237.78535713807864,0.9172874163012328,,,0.0
11,10.795,1.2259872127431306,1.6800937123583182,1.2110120923551408,0.12815816493861756,0.8274625880787024,1.0,1.0,353.4605414721774,231.59338690245107,0.2219072351883331,353.4605414721774,231.59338690245107,0.3303294706028806
876,11.45,1.9087451881435886,0.8686325707838597,1.9978639723712048,0.05870471516102407,0.6179108584613155,1.0,0.9930933989064238,367.2052663059558,217.02328499292923,0.966409927587104,367.2052663059558,217.02328499292923,0.3476994389542307
