REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
LEFT,18118509207215334066,1670,590.8330688476562,-154.08001708984375,3.1624910831451416
LEFT,18118509207215334066,1672,592.9235229492188,-156.62762451171875,3.1484835147857666
LEFT,18118509207215334066,1677,597.0923461914062,-161.74734497070312,3.1352009773254395
LEFT,18118509207215334066,1679,599.1694946289062,-164.32089233398438,3.12398362159729
LEFT,18118509207215334066,1365,369.0650329589844,106.21543884277344,2.6025161743164062
LEFT,18118509207215334066,1369,369.4448852539063,102.64785766601562,2.6124355792999268
LEFT,18118509207215334066,1376,370.3194274902344,96.67975616455078,2.62872576713562
LEFT,18118509207215334066,1378,370.641357421875,94.87629699707033,2.6365201473236084
LEFT,18118509207215334066,1385,371.9787292480469,88.59297943115234,2.6538877487182617
LEFT,18118509207215334066,1389,372.9953918457031,84.7007064819336,2.6608829498291016
LEFT,18118509207215334066,1392,373.60736083984375,82.61019897460938,2.669769525527954
LEFT,18118509207215334066,1393,373.8834533691406,81.71626281738281,2.67456579208374
LEFT,18118509207215334066,1404,376.7428283691406,73.73999786376953,2.713545560836792
LEFT,18118509207215334066,1405,377.1019287109375,72.86201477050781,2.7170441150665283
LEFT,18118509207215334066,1408,378.3536987304688,69.953369140625,2.735128164291382
LEFT,18118509207215334066,1654,575.4482421875,-135.7781982421875,3.2361531257629395
LEFT,18118509207215334066,1655,576.66796875,-137.1919403076172,3.231042861938477
LEFT,18118509207215334066,1328,370.2942810058594,136.84889221191406,2.520383834838867
LEFT,18118509207215334066,1329,370.15667724609375,136.10792541503906,2.5191891193389893
LEFT,18118509207215334066,1332,369.8524169921875,134.35545349121094,2.5210986137390137
LEFT,18118509207215334066,1337,369.2553405761719,130.24346923828125,2.533192873001098
LEFT,18118509207215334066,1342,368.8661193847656,126.5191421508789,2.541839838027954
LEFT,18118509207215334066,1344,368.7427978515625,124.89022827148438,2.5472238063812256
LEFT,18118509207215334066,1347,368.596435546875,122.13351440429688,2.5574307441711426
LEFT,18118509207215334066,1348,368.5666809082031,121.29611206054688,2.560632705688477
LEFT,18118509207215334066,1351,368.5230407714844,119.3272476196289,2.56685471534729
LEFT,18118509207215334066,1352,368.5155334472656,118.47659301757812,2.568807363510132
LEFT,18118509207215334066,1335,369.462158203125,131.8040008544922,2.5298006534576416
LEFT,18118509207215334066,1338,369.1604309082031,129.45510864257812,2.534579038619995
LEFT,18118509207215334066,1341,368.9631042480469,127.59473419189452,2.5390372276306152
LEFT,18118509207215334066,1142,377.619873046875,215.90255737304688,2.6372103691101074
LEFT,18118509207215334066,1145,378.5113525390625,215.01976013183597,2.6402173042297363
LEFT,18118509207215334066,1146,378.77740478515625,214.75572204589844,2.642164468765259
LEFT,18118509207215334066,1147,379.0434265136719,214.49139404296875,2.644246816635132
LEFT,18118509207215334066,1150,379.9285583496094,213.6102752685547,2.648990631103516
LEFT,18118509207215334066,1157,381.693359375,211.83596801757807,2.660388231277466
LEFT,18118509207215334066,1159,382.22119140625,211.29611206054688,2.663081407546997
